"Name","Location","Function Signature","Function Size"
"`vector_constructor_iterator'","00401080","void `vector_constructor_iterator'(void * param_1\, uint param_2\, int param_3\, _func_void_ptr_void_ptr * param_4)","50"
"FUN_00401100","00401100","undefined FUN_00401100(int param_1)","59"
"InitOnce","004011e0","undefined InitOnce(int param_1)","1019"
"FUN_004015e0","004015e0","undefined4 FUN_004015e0(byte * param_1\, char * param_2)","462"
"FUN_004017b0","004017b0","undefined FUN_004017b0(void)","1"
"FUN_004017c0","004017c0","undefined FUN_004017c0(void)","66"
"FUN_00401820","00401820","undefined FUN_00401820(void)","1"
"FUN_00401850","00401850","undefined4 FUN_00401850(void)","3"
"FUN_00401860","00401860","undefined4 FUN_00401860(void)","3"
"FUN_00401870","00401870","undefined FUN_00401870(void)","1"
"FUN_004018a0","004018a0","undefined FUN_004018a0(void * param_1)","81"
"FUN_00401900","00401900","undefined4 * FUN_00401900(int param_1\, undefined4 param_2)","62"
"FUN_00401940","00401940","undefined4 FUN_00401940(int param_1\, int param_2\, int * param_3)","1052"
"FUN_00401d60","00401d60","undefined4 FUN_00401d60(void)","169"
"FUN_00401e10","00401e10","undefined4 FUN_00401e10(int param_1\, int param_2)","34"
"FUN_00401e40","00401e40","undefined FUN_00401e40(int * param_1)","2385"
"FUN_004027a0","004027a0","undefined FUN_004027a0(int param_1\, int param_2)","237"
"FUN_00402890","00402890","void * FUN_00402890(int * param_1\, uint * param_2)","36"
"FUN_00402910","00402910","undefined FUN_00402910(int param_1)","203"
"FUN_004029e0","004029e0","undefined FUN_004029e0(int param_1)","69"
"FUN_00402b80","00402b80","undefined FUN_00402b80(void)","173"
"FUN_00402c30","00402c30","undefined FUN_00402c30(int param_1\, undefined4 param_2\, int param_3)","173"
"FUN_00402ce0","00402ce0","undefined FUN_00402ce0(undefined4 param_1\, undefined4 param_2\, int param_3)","279"
"FUN_00402e00","00402e00","int FUN_00402e00(float param_1\, float * param_2\, int param_3\, float * param_4)","168"
"FUN_00402eb0","00402eb0","undefined FUN_00402eb0(undefined4 param_1\, undefined4 param_2\, int param_3)","581"
"FUN_00403240","00403240","undefined FUN_00403240(int param_1\, undefined4 param_2\, undefined4 * param_3)","172"
"FUN_00403300","00403300","undefined FUN_00403300(int param_1\, undefined4 * param_2)","46"
"FUN_00403450","00403450","int FUN_00403450(int param_1)","471"
"FUN_00403630","00403630","undefined FUN_00403630(void)","105"
"FUN_004036a0","004036a0","undefined FUN_004036a0(float param_1\, int param_2)","1457"
"FUN_00403c60","00403c60","undefined FUN_00403c60(int param_1\, undefined4 * param_2)","35"
"FUN_00403cb0","00403cb0","float10 FUN_00403cb0(float param_1\, float param_2)","54"
"FUN_00403cf0","00403cf0","ulonglong FUN_00403cf0(float param_1)","320"
"FUN_00403e70","00403e70","bool FUN_00403e70(undefined4 param_1\, int * param_2)","40"
"FUN_00403ea0","00403ea0","undefined8 FUN_00403ea0(undefined4 param_1\, undefined4 param_2\, undefined1 param_3)","178"
"FUN_00403f60","00403f60","undefined8 FUN_00403f60(int param_1\, char * param_2\, int param_3)","1710"
"FUN_00404620","00404620","undefined8 FUN_00404620(char * param_1\, int param_2)","560"
"FUN_00404850","00404850","undefined4 FUN_00404850(undefined4 param_1\, int param_2\, uint param_3)","201"
"FUN_00404990","00404990","undefined FUN_00404990(void)","184"
"FUN_00404a50","00404a50","undefined4 FUN_00404a50(int param_1\, undefined4 * param_2)","569"
"FUN_00404c90","00404c90","undefined FUN_00404c90(int param_1)","109"
"FUN_00404d00","00404d00","bool FUN_00404d00(void)","185"
"FUN_00404dc0","00404dc0","undefined FUN_00404dc0(void)","109"
"FUN_00404e30","00404e30","undefined FUN_00404e30(int param_1)","217"
"FUN_00404f10","00404f10","char FUN_00404f10(int param_1)","22"
"FUN_00404f30","00404f30","undefined FUN_00404f30(int param_1\, undefined4 * param_2\, undefined4 * param_3\, undefined4 * param_4\, char * param_5)","101"
"FUN_00404fa0","00404fa0","undefined4 FUN_00404fa0(int param_1)","288"
"FUN_004050c0","004050c0","undefined FUN_004050c0(char * param_1)","2006"
"FUN_004058a0","004058a0","bool FUN_004058a0(float param_1)","530"
"FUN_00405ac0","00405ac0","undefined FUN_00405ac0(void)","640"
"FUN_00405d70","00405d70","undefined4 FUN_00405d70(undefined4 param_1\, int param_2\, int * param_3)","700"
"FUN_00406030","00406030","undefined4 FUN_00406030(float param_1\, int * param_2\, int param_3)","1834"
"FUN_004068d0","004068d0","undefined4 FUN_004068d0(undefined4 param_1\, undefined4 param_2\, int * param_3)","240"
"FUN_00407ad0","00407ad0","undefined FUN_00407ad0(void)","144"
"FUN_00407b60","00407b60","undefined FUN_00407b60(int param_1)","403"
"FUN_00407d00","00407d00","int FUN_00407d00(byte * param_1)","285"
"FUN_00407e40","00407e40","int FUN_00407e40(int param_1\, int param_2)","1317"
"FUN_004087a0","004087a0","float10 FUN_004087a0(float param_1\, float param_2)","54"
"FUN_00408800","00408800","undefined FUN_00408800(int param_1)","127"
"FUN_00408880","00408880","int * FUN_00408880(int param_1\, int param_2\, int param_3)","147"
"FUN_00408960","00408960","undefined FUN_00408960(int param_1)","213"
"FUN_00408a40","00408a40","undefined FUN_00408a40(void)","175"
"FUN_00408af0","00408af0","undefined FUN_00408af0(void)","3711"
"FUN_00409980","00409980","undefined FUN_00409980(void)","2324"
"FUN_0040a2a0","0040a2a0","int FUN_0040a2a0(int param_1\, float * param_2\, float param_3)","517"
"FUN_0040a520","0040a520","float10 FUN_0040a520(int param_1)","45"
"FUN_0040a570","0040a570","undefined FUN_0040a570(float * param_1)","1047"
"FUN_0040aa00","0040aa00","undefined FUN_0040aa00(int param_1\, undefined4 param_2)","79"
"FUN_0040aa50","0040aa50","undefined4 FUN_0040aa50(void)","6"
"FUN_0040aa60","0040aa60","undefined4 FUN_0040aa60(void)","6"
"FUN_0040aa70","0040aa70","undefined4 * FUN_0040aa70(void)","6"
"FUN_0040aa90","0040aa90","undefined FUN_0040aa90(float * param_1)","133"
"FUN_0040ab20","0040ab20","undefined FUN_0040ab20(void)","693"
"FUN_0040ade0","0040ade0","undefined FUN_0040ade0(undefined4 * param_1)","14390"
"FUN_0040e690","0040e690","uint FUN_0040e690(int param_1)","106"
"FUN_0040e700","0040e700","undefined FUN_0040e700(void)","1"
"FUN_0040e870","0040e870","undefined FUN_0040e870(undefined4 * param_1)","95"
"FUN_0040e8e0","0040e8e0","undefined FUN_0040e8e0(void * this\, float * param_1)","91"
"FUN_0040e9a0","0040e9a0","int FUN_0040e9a0(undefined4 param_1\, int param_2\, undefined4 param_3\, float param_4)","133"
"FUN_0040ea30","0040ea30","undefined FUN_0040ea30(void)","319"
"FUN_0040ebf0","0040ebf0","undefined FUN_0040ebf0(undefined4 param_1\, uint * param_2)","513"
"FUN_0040ee00","0040ee00","undefined FUN_0040ee00(int * param_1)","102"
"FUN_0040ee70","0040ee70","void * FUN_0040ee70(uint * param_1)","132"
"FUN_0040ef00","0040ef00","undefined4 FUN_0040ef00(void * this\, undefined4 * param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4)","215"
"FUN_0040eff0","0040eff0","undefined FUN_0040eff0(undefined4 param_1\, undefined4 param_2\, float * param_3\, float * param_4)","1119"
"FUN_0040f450","0040f450","undefined FUN_0040f450(undefined4 param_1\, undefined4 param_2\, float * param_3\, float * param_4\, float param_5)","190"
"FUN_0040f510","0040f510","undefined FUN_0040f510(float * param_1\, int param_2)","163"
"FUN_0040f5c0","0040f5c0","float10 FUN_0040f5c0(undefined4 param_1\, undefined4 param_2)","302"
"FUN_0040f6f0","0040f6f0","float10 FUN_0040f6f0(undefined4 param_1\, float param_2)","344"
"FUN_0040f850","0040f850","undefined FUN_0040f850(undefined4 param_1)","194"
"FUN_0040f920","0040f920","undefined FUN_0040f920(int param_1\, int param_2\, int param_3)","406"
"FUN_0040fac0","0040fac0","undefined FUN_0040fac0(int param_1\, int param_2)","651"
"FUN_0040fd80","0040fd80","undefined FUN_0040fd80(float * param_1\, float * param_2)","534"
"FUN_0040ffa0","0040ffa0","undefined FUN_0040ffa0(undefined4 * param_1\, int param_2)","175"
"FUN_00410050","00410050","int FUN_00410050(undefined4 param_1\, int param_2)","44"
"FUN_004100b0","004100b0","undefined FUN_004100b0(undefined4 param_1\, int param_2)","181"
"FUN_00410170","00410170","undefined FUN_00410170(void)","196"
"FUN_00410240","00410240","undefined FUN_00410240(void)","115"
"FUN_004102c0","004102c0","undefined FUN_004102c0(float * param_1\, undefined4 param_2\, int param_3)","548"
"FUN_004104f0","004104f0","undefined4 FUN_004104f0(undefined4 * param_1\, float * param_2\, undefined4 param_3)","1101"
"FUN_00410940","00410940","undefined FUN_00410940(void)","206"
"FUN_00410a10","00410a10","undefined4 FUN_00410a10(float param_1\, int param_2\, float * param_3\, int param_4)","2640"
"FUN_00411470","00411470","undefined FUN_00411470(float * param_1)","380"
"FUN_004115f0","004115f0","int FUN_004115f0(void)","68"
"FUN_00411640","00411640","undefined FUN_00411640(undefined4 param_1\, int param_2\, float param_3)","501"
"FUN_004118d0","004118d0","undefined FUN_004118d0(void)","171"
"FUN_00411980","00411980","undefined FUN_00411980(void)","636"
"FUN_00411c00","00411c00","undefined FUN_00411c00(void)","699"
"FUN_00411f20","00411f20","undefined FUN_00411f20(int param_1)","724"
"FUN_00412210","00412210","undefined FUN_00412210(int param_1\, float * param_2)","320"
"FUN_00412580","00412580","undefined FUN_00412580(int param_1)","254"
"FUN_004126b0","004126b0","undefined4 FUN_004126b0(int param_1)","170"
"FUN_00412760","00412760","undefined4 FUN_00412760(void * this\, int param_1)","826"
"FUN_00412aa0","00412aa0","undefined4 FUN_00412aa0(int param_1\, int param_2)","294"
"FUN_00412bd0","00412bd0","undefined FUN_00412bd0(void * this\, int param_1\, int param_2\, int param_3)","960"
"FUN_00412fc0","00412fc0","undefined FUN_00412fc0(void)","581"
"FUN_00413230","00413230","undefined FUN_00413230(int param_1\, float * param_2)","52"
"FUN_00413270","00413270","undefined FUN_00413270(undefined4 * param_1)","509"
"FUN_00413470","00413470","undefined FUN_00413470(undefined4 param_1\, int param_2)","153"
"FUN_00413510","00413510","undefined FUN_00413510(float * param_1\, float * param_2\, float param_3\, float param_4)","425"
"FUN_004136c0","004136c0","undefined FUN_004136c0(void)","455"
"FUN_00413890","00413890","undefined FUN_00413890(void)","378"
"FUN_00413a20","00413a20","undefined FUN_00413a20(int param_1)","126"
"FUN_00413b10","00413b10","undefined FUN_00413b10(int param_1)","64"
"FUN_00413f20","00413f20","undefined FUN_00413f20(float * param_1)","28"
"FUN_00413f80","00413f80","undefined FUN_00413f80(undefined4 * param_1)","95"
"FUN_00413fe0","00413fe0","undefined FUN_00413fe0(int param_1)","162"
"FUN_00414090","00414090","undefined FUN_00414090(int param_1)","217"
"FUN_00414170","00414170","undefined FUN_00414170(int param_1)","219"
"FUN_00414250","00414250","undefined FUN_00414250(int param_1)","215"
"FUN_00414340","00414340","undefined FUN_00414340(undefined4 * param_1)","178"
"FUN_00414400","00414400","undefined FUN_00414400(void)","1174"
"ResetPlayerPacket","004148a0","undefined ResetPlayerPacket(PLAYERPACKET_s * playerPacket)","523"
"FUN_00414ab0","00414ab0","undefined FUN_00414ab0(int param_1\, undefined4 param_2)","25"
"FUN_00414ad0","00414ad0","undefined FUN_00414ad0(int param_1)","216"
"FUN_00414bb0","00414bb0","undefined FUN_00414bb0(float param_1)","158"
"FUN_00414c50","00414c50","undefined FUN_00414c50(int param_1)","78"
"FUN_00414ca0","00414ca0","undefined FUN_00414ca0(int param_1)","52"
"FUN_00414ce0","00414ce0","undefined FUN_00414ce0(void)","40"
"FUN_00414d10","00414d10","undefined FUN_00414d10(int param_1\, char param_2)","39"
"MakePlayerList","00414d40","int MakePlayerList(int param_1)","348"
"FUN_00414f20","00414f20","undefined FUN_00414f20(void)","82"
"FUN_00414f80","00414f80","undefined FUN_00414f80(int param_1)","119"
"FUN_00415000","00415000","undefined FUN_00415000(int param_1)","68"
"FUN_00415050","00415050","int FUN_00415050(int param_1)","117"
"ResetCharacterIdle","004150d0","undefined ResetCharacterIdle(GameObject_s * obj\, int param_2\, uint param_3)","240"
"FUN_004151c0","004151c0","undefined FUN_004151c0(int param_1\, uint param_2)","418"
"FUN_00415370","00415370","undefined FUN_00415370(int param_1)","409"
"FUN_00415510","00415510","undefined FUN_00415510(void)","600"
"FUN_00415770","00415770","undefined FUN_00415770(int param_1)","1250"
"FUN_00415c60","00415c60","undefined FUN_00415c60(float param_1)","1322"
"FUN_00416190","00416190","undefined FUN_00416190(float param_1)","2718"
"FUN_00416c30","00416c30","undefined FUN_00416c30(void)","91"
"FUN_00416c90","00416c90","undefined4 FUN_00416c90(undefined4 param_1\, int param_2)","202"
"FUN_00416d60","00416d60","undefined FUN_00416d60(float param_1)","7994"
"FUN_00418ca0","00418ca0","undefined FUN_00418ca0(float param_1)","772"
"FUN_00418fb0","00418fb0","undefined FUN_00418fb0(void * this\, int param_1\, int param_2\, int param_3)","291"
"FUN_004190e0","004190e0","undefined4 FUN_004190e0(int param_1)","70"
"FUN_00419130","00419130","float10 FUN_00419130(void)","158"
"FUN_004191d0","004191d0","undefined FUN_004191d0(int param_1)","365"
"FUN_00419340","00419340","undefined FUN_00419340(int param_1\, int param_2)","524"
"FUN_00419550","00419550","undefined FUN_00419550(int param_1\, int param_2)","516"
"FUN_00419760","00419760","undefined FUN_00419760(int param_1\, int param_2\, int param_3)","669"
"FUN_00419a00","00419a00","undefined FUN_00419a00(int param_1\, int param_2\, int param_3)","779"
"FUN_00419d10","00419d10","undefined FUN_00419d10(int param_1)","232"
"FUN_00419e00","00419e00","undefined FUN_00419e00(int param_1)","131"
"FUN_00419e90","00419e90","undefined FUN_00419e90(void)","284"
"FUN_00419fb0","00419fb0","undefined FUN_00419fb0(void)","808"
"FUN_0041a360","0041a360","undefined4 FUN_0041a360(uint param_1\, int param_2\, uint param_3\, int param_4)","365"
"FUN_0041a4d0","0041a4d0","int FUN_0041a4d0(int param_1)","44"
"FUN_0041a5b0","0041a5b0","uint FUN_0041a5b0(uint param_1\, int param_2)","1031"
"FUN_0041a9c0","0041a9c0","undefined FUN_0041a9c0(void)","314"
"FUN_0041ab00","0041ab00","undefined FUN_0041ab00(void)","142"
"FUN_0041ab90","0041ab90","undefined FUN_0041ab90(void)","168"
"FUN_0041ac40","0041ac40","undefined FUN_0041ac40(void)","406"
"FUN_0041ade0","0041ade0","undefined FUN_0041ade0(void)","215"
"FUN_0041aef0","0041aef0","undefined4 FUN_0041aef0(int param_1)","60"
"FUN_0041af30","0041af30","undefined4 FUN_0041af30(int param_1)","46"
"ResetPlayerMoves","0041af70","undefined ResetPlayerMoves(GameObject_s * obj)","290"
"FUN_0041b0a0","0041b0a0","undefined FUN_0041b0a0(int param_1)","884"
"FUN_0041b420","0041b420","undefined FUN_0041b420(int param_1\, int param_2\, undefined4 * param_3\, int param_4)","1900"
"FUN_0041bb90","0041bb90","undefined FUN_0041bb90(float param_1\, undefined4 param_2\, undefined4 param_3)","135"
"FUN_0041bc20","0041bc20","undefined4 FUN_0041bc20(int param_1\, int param_2\, int param_3)","1273"
"FUN_0041c120","0041c120","undefined FUN_0041c120(int * param_1\, int param_2)","1276"
"FUN_0041c620","0041c620","undefined FUN_0041c620(int param_1)","416"
"FUN_0041c7c0","0041c7c0","undefined4 FUN_0041c7c0(int param_1\, int param_2\, int param_3)","911"
"FUN_0041cb50","0041cb50","int FUN_0041cb50(short * param_1\, float * param_2\, float * param_3\, float * param_4\, float * param_5\, float * param_6\, int param_7\, undefined4 param_8)","2038"
"FUN_0041d350","0041d350","undefined4 FUN_0041d350(void)","1891"
"FUN_0041dad0","0041dad0","undefined FUN_0041dad0(void * param_1\, int param_2\, float param_3)","1746"
