"Name","Location","Type","Data Type","Namespace","Source","Reference Count","Offcut Ref Count"
"SendMessageA","External[003edfa4]","External Function","LRESULT","USER32.DLL","Imported","7","0"
"D3DXMatrixMultiply","External[003edfc0]","External Function","undefined","D3DX9_35.DLL","Imported","3","0"
"D3DXMatrixLookAtLH","External[003edfd6]","External Data","","D3DX9_35.DLL","Imported","1","0"
"D3DXMatrixOrthoLH","External[003edfec]","External Function","undefined","D3DX9_35.DLL","Imported","3","0"
"D3DXSaveSurfaceToFileInMemory","External[003ee000]","External Function","undefined","D3DX9_35.DLL","Imported","3","0"
"D3DXCreateTextureFromFileInMemory","External[003ee020]","External Function","undefined","D3DX9_35.DLL","Imported","3","0"
"D3DXCreateRenderToSurface","External[003ee044]","External Data","","D3DX9_35.DLL","Imported","1","0"
"D3DXCreateFontA","External[003ee060]","External Data","","D3DX9_35.DLL","Imported","1","0"
"D3DXCreateEffectFromFileA","External[003ee072]","External Data","","D3DX9_35.DLL","Imported","1","0"
"D3DXCreateTextureFromFileInMemoryEx","External[003ee08e]","External Function","undefined","D3DX9_35.DLL","Imported","3","0"
"D3DXCreateCubeTextureFromFileInMemory","External[003ee0b4]","External Function","undefined","D3DX9_35.DLL","Imported","3","0"
"D3DXCreateEffect","External[003ee0dc]","External Data","","D3DX9_35.DLL","Imported","1","0"
"D3DPERF_BeginEvent","External[003ee0fe]","External Function","undefined","D3D9.DLL","Imported","3","0"
"D3DPERF_EndEvent","External[003ee114]","External Function","undefined","D3D9.DLL","Imported","3","0"
"Direct3DCreate9","External[003ee128]","External Function","undefined","D3D9.DLL","Imported","3","0"
"timeGetTime","External[003ee144]","External Function","DWORD","WINMM.DLL","Imported","2","0"
"timeSetEvent","External[003ee152]","External Function","MMRESULT","WINMM.DLL","Imported","3","0"
"timeKillEvent","External[003ee162]","External Function","MMRESULT","WINMM.DLL","Imported","10","0"
"DirectInput8Create","External[003ee188]","External Function","undefined","DINPUT8.DLL","Imported","3","0"
"_BinkGetRealtime@12","External[003ee1aa]","External Function","undefined","BINKW32.DLL","Imported","2","0"
"_BinkCopyToBufferRect@44","External[003ee1c0]","External Function","undefined","BINKW32.DLL","Imported","2","0"
"_BinkDoFrame@4","External[003ee1dc]","External Function","undefined","BINKW32.DLL","Imported","2","0"
"_BinkSetSoundSystem@8","External[003ee1ee]","External Function","undefined","BINKW32.DLL","Imported","2","0"
"_BinkOpenDirectSound@4","External[003ee206]","External Function","undefined","BINKW32.DLL","Imported","1","0"
"_BinkSetVolume@12","External[003ee220]","External Function","undefined","BINKW32.DLL","Imported","4","0"
"_BinkClose@4","External[003ee234]","External Function","undefined","BINKW32.DLL","Imported","3","0"
"_BinkOpen@8","External[003ee244]","External Function","undefined","BINKW32.DLL","Imported","3","0"
"_BinkSetSoundTrack@8","External[003ee252]","External Function","undefined","BINKW32.DLL","Imported","3","0"
"_BinkNextFrame@4","External[003ee26a]","External Function","undefined","BINKW32.DLL","Imported","2","0"
"_BinkWait@4","External[003ee27e]","External Function","undefined","BINKW32.DLL","Imported","2","0"
"_BinkGoto@12","External[003ee28c]","External Function","undefined","BINKW32.DLL","Imported","1","0"
"Sleep","External[003ee2b6]","External Function","void","KERNEL32.DLL","Imported","18","0"
"SetEvent","External[003ee2be]","External Function","BOOL","KERNEL32.DLL","Imported","6","0"
"LeaveCriticalSection","External[003ee2ca]","External Function","void","KERNEL32.DLL","Imported","30","0"
"EnterCriticalSection","External[003ee2e2]","External Function","void","KERNEL32.DLL","Imported","29","0"
"WaitForSingleObject","External[003ee2fa]","External Function","DWORD","KERNEL32.DLL","Imported","8","0"
"ResumeThread","External[003ee310]","External Function","DWORD","KERNEL32.DLL","Imported","4","0"
"SetThreadPriority","External[003ee320]","External Function","BOOL","KERNEL32.DLL","Imported","3","0"
"CreateThread","External[003ee334]","External Function","HANDLE","KERNEL32.DLL","Imported","4","0"
"CreateEventA","External[003ee344]","External Function","HANDLE","KERNEL32.DLL","Imported","6","0"
"InitializeCriticalSection","External[003ee354]","External Function","void","KERNEL32.DLL","Imported","11","0"
"ResetEvent","External[003ee370]","External Function","BOOL","KERNEL32.DLL","Imported","2","0"
"GetCurrentThreadId","External[003ee37e]","External Function","DWORD","KERNEL32.DLL","Imported","5","0"
"CreateFileA","External[003ee394]","External Function","HANDLE","KERNEL32.DLL","Imported","9","0"
"CloseHandle","External[003ee3a2]","External Function","BOOL","KERNEL32.DLL","Imported","13","0"
"ReadFile","External[003ee3b0]","External Function","BOOL","KERNEL32.DLL","Imported","11","0"
"WriteFile","External[003ee3bc]","External Function","BOOL","KERNEL32.DLL","Imported","9","0"
"SetFilePointerEx","External[003ee3c8]","External Function","BOOL","KERNEL32.DLL","Imported","7","0"
"MoveFileA","External[003ee3dc]","External Function","BOOL","KERNEL32.DLL","Imported","1","0"
"DeleteFileA","External[003ee3e8]","External Function","BOOL","KERNEL32.DLL","Imported","2","0"
"FindFirstFileA","External[003ee3f6]","External Function","HANDLE","KERNEL32.DLL","Imported","1","0"
"FindClose","External[003ee408]","External Function","BOOL","KERNEL32.DLL","Imported","1","0"
"FindNextFileA","External[003ee414]","External Function","BOOL","KERNEL32.DLL","Imported","2","0"
"FileTimeToSystemTime","External[003ee424]","External Function","BOOL","KERNEL32.DLL","Imported","6","0"
"CreateDirectoryA","External[003ee43c]","External Function","BOOL","KERNEL32.DLL","Imported","5","0"
"GetFileAttributesExA","External[003ee450]","External Function","BOOL","KERNEL32.DLL","Imported","2","0"
"QueryPerformanceCounter","External[003ee468]","External Function","BOOL","KERNEL32.DLL","Imported","7","0"
"QueryPerformanceFrequency","External[003ee482]","External Function","BOOL","KERNEL32.DLL","Imported","4","0"
"SetProcessAffinityMask","External[003ee49e]","External Function","BOOL","KERNEL32.DLL","Imported","3","0"
